en,fr,ja,zh-TW,ko,es,de,th,pt-BR,hi
stitch,maille,編み目,針目,코,punto,Masche,ห่วง,ponto,फंदा
stitches,mailles,編み目,針目,코,puntos,Maschen,ห่วง,pontos,फंदे
row,rang,段,行,단,fila,Reihe,แถว,carreira,पंक्ति
round,tour,段 / 周,圈,단 / 원,vuelta,Runde,รอบ,volta / carreira,राउंड
repeat,répéter,繰り返す,重複,반복,repetir,wiederholen,ทำซ้ำ,repetir,दोहराना
skip,sauter,飛ばす,跳過,건너뛰다,saltar,überspringen,ข้าม,pular,छोड़ना
join,joindre,つなぐ,連接,연결하다,unir,verbinden,เชื่อม,unir,जोड़ना
turn,tourner,編み地を返す,翻面,뒤집다,girar,wenden,พลิกงาน,virar,पलटना
increase,augmentation,増し目,加針,늘리기,aumento,Zunahme,เพิ่มห่วง,aumento,늘리기 / बढ़ाना
decrease,diminution,減らし目,減針,줄이기,disminución,Abnahme,ลดห่วง,diminuição,घटाना
repeat across,répéter jusqu'à la fin,端まで繰り返す,重複至行末,끝까지 반복,repetir hasta el final,bis zum Ende wiederholen,ทำซ้ำจนจบแถว,repetir até o fim,अंत तक दोहराएँ
in each stitch,dans chaque maille,各目に,每一針,각 코마다,en cada punto,in jede Masche,ในทุกห่วง,em cada ponto,हर फंदे में
next stitch,maille suivante,次の目,下一針,다음 코,siguiente punto,nächste Masche,ห่วงถัดไป,próximo ponto,अगला फंदा
space,espace,スペース / 空間,空間,공간,espacio,Zwischenraum,ช่อง,espaço,जगह
gauge,échantillon / tension,ゲージ,密度,게이지,muestra / tensión,Maschenprobe,ความถี่ของห่วง,amostra / tensão,गेज
swatch,échantillon,編み地見本,試織片,스와치,muestra,Maschenprobe,ชิ้นตัวอย่าง,amostra,स्वैच / नमूना
right side,endroit,表側,正面,겉면,derecho,Vorderseite,ด้านถูก,lado direito,सामने की ओर
wrong side,envers,裏側,反面,안쪽면,revés,Rückseite,ด้านผิด,lado avesso,पीछे की ओर
edge,bord,端 / 縁,邊緣,가장자리,borde,Rand,ขอบ,borda,किनारा
center,centre,中心,中心,중앙,centro,Mitte,ตรงกลาง,centro,केंद्र
beginning,début,編み始め,開始,시작,comienzo,Anfang,จุดเริ่มต้น,início,शुरुआत
end,fin,終わり,結尾,끝,final,Ende,จบ,fim,अंत
yarn,fil,糸,毛線,실,hilo,Garn,ไหมพรม,fio,यार्न / ऊन
